unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,bbl,vehicle_type,closed_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location
59692910,2023-12-10T01:35:49.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,,,,,,,,In Progress,,2023-12-10T01:38:20.000,0 Unspecified,Unspecified,1019673,209729,ONLINE,Unspecified,Unspecified,40.742263323343536,-73.87216756675477,"{'latitude': '40.742263323343536', 'longitude': '-73.87216756675477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,,,,,,,,,,,
59693923,2023-12-10T01:35:42.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,In Progress,,,0 Unspecified,Unspecified,1008361,194637,MOBILE,Unspecified,Unspecified,40.700877524145234,-73.91304367669467,"{'latitude': '40.700877524145234', 'longitude': '-73.91304367669467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13828,42,2,37,53,53,,,,,,,,,,,
59691870,2023-12-10T01:35:19.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,,,,,,,,In Progress,,2023-12-10T02:02:53.000,0 Unspecified,Unspecified,991450,226968,ONLINE,Unspecified,Unspecified,40.78964792677138,-73.97399858087293,"{'latitude': '40.78964792677138', 'longitude': '-73.97399858087293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12421,20,4,19,15,15,,,,,,,,,,,
59693015,2023-12-10T01:35:18.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,,,,,,,,In Progress,,2023-12-10T02:13:03.000,0 Unspecified,Unspecified,1016345,260341,ONLINE,Unspecified,Unspecified,40.881191730314455,-73.88393544053625,"{'latitude': '40.881191730314455', 'longitude': '-73.88393544053625', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11605,24,5,40,34,34,,,,,,,,,,,
59694008,2023-12-10T01:34:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T02:04:06.000,0 Unspecified,Unspecified,988464,181983,MOBILE,Unspecified,Unspecified,40.66617702423747,-73.98481011751514,"{'latitude': '40.66617702423747', 'longitude': '-73.98481011751514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17617,14,2,27,50,50,,,,,,,,,,,
59687752,2023-12-10T01:34:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,,,,,,,,In Progress,,,0 Unspecified,Unspecified,1014291,212752,PHONE,Unspecified,Unspecified,40.750580613222425,-73.89157628641202,"{'latitude': '40.750580613222425', 'longitude': '-73.89157628641202', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14783,65,3,5,73,73,,,,,,,,,,,
59691873,2023-12-10T01:34:51.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,2023-12-10T01:53:46.000,0 Unspecified,Unspecified,974820,164129,MOBILE,Unspecified,Unspecified,40.61716761090347,-74.03396664112519,"{'latitude': '40.61716761090347', 'longitude': '-74.03396664112519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17216,10,2,44,41,41,,,,,,,,,,,
59694929,2023-12-10T01:34:47.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,,,,,,,,In Progress,,,0 Unspecified,Unspecified,1029422,192562,ONLINE,Unspecified,Unspecified,40.69509969510633,-73.83710122945355,"{'latitude': '40.69509969510633', 'longitude': '-73.83710122945355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24014,46,3,46,60,60,,SUV,,,,,,,,,
59695011,2023-12-10T01:34:45.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,,,,,,,,In Progress,,2023-12-10T01:37:33.000,0 Unspecified,Unspecified,1019673,209729,ONLINE,Unspecified,Unspecified,40.742263323343536,-73.87216756675477,"{'latitude': '40.742263323343536', 'longitude': '-73.87216756675477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,,,,,,,,,,,
59689873,2023-12-10T01:34:36.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T02:13:34.000,0 Unspecified,Unspecified,,249011,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59694980,2023-12-10T01:34:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,,,,,,,,In Progress,,,0 Unspecified,Unspecified,990223,203076,MOBILE,Unspecified,Unspecified,40.72407140025855,-73.97845088126695,"{'latitude': '40.72407140025855', 'longitude': '-73.97845088126695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729,70,4,50,5,5,,,,,,,,,,,
59692984,2023-12-10T01:34:14.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,,,,,,,,In Progress,,,0 Unspecified,Unspecified,985099,193060,ONLINE,Unspecified,Unspecified,40.69658183365541,-73.99693827922121,"{'latitude': '40.69658183365541', 'longitude': '-73.99693827922121', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16865,68,2,38,54,54,,,,,,,,,,,
59690800,2023-12-10T01:34:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,,,,,,,,In Progress,,2023-12-10T02:02:16.000,0 Unspecified,Unspecified,990387,203926,ONLINE,Unspecified,Unspecified,40.72640433152768,-73.9778584343947,"{'latitude': '40.72640433152768', 'longitude': '-73.9778584343947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729,70,4,50,5,5,,,,,,,,,,,
59695013,2023-12-10T01:34:10.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,,,,,,,,In Progress,,2023-12-10T02:08:17.000,0 Unspecified,Unspecified,999892,188150,ONLINE,Unspecified,Unspecified,40.68309123335423,-73.94360217776286,"{'latitude': '40.68309123335423', 'longitude': '-73.94360217776286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17618,69,2,49,51,51,,,,,,,,,,,
59693010,2023-12-10T01:34:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,,,,,,,,In Progress,,2023-12-10T02:14:39.000,0 Unspecified,Unspecified,983542,204080,ONLINE,Unspecified,Unspecified,40.72682912458367,-74.00255439599319,"{'latitude': '40.72682912458367', 'longitude': '-74.00255439599319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12075,57,4,10,1,1,,,,,,,,,,,
59692867,2023-12-10T01:33:30.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,,,,,,,,In Progress,,2023-12-10T02:18:10.000,0 Unspecified,Unspecified,988449,201905,MOBILE,Unspecified,Unspecified,40.720858308400196,-73.98485176849954,"{'latitude': '40.720858308400196', 'longitude': '-73.98485176849954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723,70,4,50,4,4,,,,,,,,,,,
59689889,2023-12-10T01:32:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,,,,,,,,In Progress,,2023-12-10T01:50:30.000,0 Unspecified,Unspecified,998104,226754,ONLINE,Unspecified,Unspecified,40.78905262818372,-73.9499693813918,"{'latitude': '40.78905262818372', 'longitude': '-73.9499693813918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12426,7,4,35,14,14,,,,,,,,,,,
59693925,2023-12-10T01:32:32.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,In Progress,,,0 Unspecified,Unspecified,,214583,MOBILE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59688697,2023-12-10T01:32:30.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,,,,,,,,In Progress,,2023-12-10T01:57:27.000,0 Unspecified,Unspecified,,248484,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59693912,2023-12-10T01:32:00.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,In Progress,,2023-12-10T02:17:41.000,0 Unspecified,Unspecified,988301,201850,MOBILE,Unspecified,Unspecified,40.7207074156772,-73.9853857235409,"{'latitude': '40.7207074156772', 'longitude': '-73.9853857235409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723,70,4,50,4,4,,,,,,,,,,,
59695014,2023-12-10T01:31:56.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,2023-12-10T01:53:45.000,0 Unspecified,Unspecified,974820,164129,MOBILE,Unspecified,Unspecified,40.61716761090347,-74.03396664112519,"{'latitude': '40.61716761090347', 'longitude': '-74.03396664112519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17216,10,2,44,41,41,,,,,,,,,,,
59687729,2023-12-10T01:31:52.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,,,,,,,,In Progress,,2023-12-10T02:03:26.000,0 Unspecified,Unspecified,991101,228790,PHONE,Unspecified,Unspecified,40.794649102694166,-73.9752570688226,"{'latitude': '40.794649102694166', 'longitude': '-73.9752570688226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12422,20,4,19,15,15,,,,,,,,,,,
59691942,2023-12-10T01:31:50.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T01:59:52.000,0 Unspecified,Unspecified,998792,235404,ONLINE,Unspecified,Unspecified,40.81279340303509,-73.94746609023105,"{'latitude': '40.81279340303509', 'longitude': '-73.94746609023105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424,18,4,36,20,20,,,,,,,,,,,
59693997,2023-12-10T01:31:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T02:01:16.000,0 Unspecified,Unspecified,,244276,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59691850,2023-12-10T01:31:34.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,,,,,,,,In Progress,,,0 Unspecified,Unspecified,,218724,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59693864,2023-12-10T01:31:30.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,,,,,,,,In Progress,,,0 Unspecified,Unspecified,1016867,202496,PHONE,Unspecified,Unspecified,40.72242132624058,-73.88232874474714,"{'latitude': '40.72242132624058', 'longitude': '-73.88232874474714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15309,54,3,34,62,62,,,,,,,,,,,
59687742,2023-12-10T01:31:06.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T02:13:18.000,0 Unspecified,Unspecified,993799,167010,MOBILE,Unspecified,Unspecified,40.625075227180716,-73.96560064852665,"{'latitude': '40.625075227180716', 'longitude': '-73.96560064852665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13513,2,2,18,39,39,,,,,,,,,,,
59690851,2023-12-10T01:31:06.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,,,,,,,,In Progress,,,0 Unspecified,Unspecified,,227113,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59689806,2023-12-10T01:31:01.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,2023-12-10T01:53:25.000,0 Unspecified,Unspecified,974820,164129,MOBILE,Unspecified,Unspecified,40.61716761090347,-74.03396664112519,"{'latitude': '40.61716761090347', 'longitude': '-74.03396664112519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17216,10,2,44,41,41,,,,,,,,,,,
59687584,2023-12-10T01:30:41.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,,,,,,,,In Progress,,,0 Unspecified,Unspecified,1019554,218839,ONLINE,Unspecified,Unspecified,40.7672684067166,-73.87254917350039,"{'latitude': '40.7672684067166', 'longitude': '-73.87254917350039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14511,65,3,21,73,73,,,,,,,,,,,
59690916,2023-12-10T01:30:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T01:45:31.000,0 Unspecified,Unspecified,,256016,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59690526,2023-12-10T01:30:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-12-10T01:33:18.000,0 Unspecified,Unspecified,996643,159891,ONLINE,Unspecified,Unspecified,40.60553152529096,-73.95536848100859,"{'latitude': '40.60553152529096', 'longitude': '-73.95536848100859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13512,32,2,15,36,36,,,2023-12-10T01:33:11.000,,,,,,,,
59691952,2023-12-10T01:30:27.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,,0 Unspecified,Unspecified,1020929,241125,MOBILE,Unspecified,Unspecified,40.82843174144252,-73.8674635696456,"{'latitude': '40.82843174144252', 'longitude': '-73.8674635696456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11610,58,5,31,26,26,,,,,,,,,,,
59689822,2023-12-10T01:30:25.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,,,,,,,,In Progress,,,0 Unspecified,Unspecified,990311,187338,ONLINE,Unspecified,Unspecified,40.68087422403295,-73.97814756319757,"{'latitude': '40.68087422403295', 'longitude': '-73.97814756319757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17619,14,2,27,50,50,,,,,,,,,,,
59695076,2023-12-10T01:30:21.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,,,,,,,,In Progress,,2023-12-10T02:21:00.000,0 Unspecified,Unspecified,939126,167123,ONLINE,Unspecified,Unspecified,40.62527561417671,-74.1625554348385,"{'latitude': '40.62527561417671', 'longitude': '-74.1625554348385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10371,4,1,13,75,75,,,,,,,,,,,
59691052,2023-12-10T01:30:12.000,DSNY,Department of Sanitation,Dead Animal,Cat,Street,,,,,,,,In Progress,,,0 Unspecified,Unspecified,949473,148753,PHONE,Unspecified,Unspecified,40.57490040056705,-74.1251867175775,"{'latitude': '40.57490040056705', 'longitude': '-74.1251867175775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10693,15,1,14,76,76,,,,,,,,,,,
59687651,2023-12-10T01:29:58.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,2023-12-10T01:53:20.000,0 Unspecified,Unspecified,974820,164129,MOBILE,Unspecified,Unspecified,40.61716761090347,-74.03396664112519,"{'latitude': '40.61716761090347', 'longitude': '-74.03396664112519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17216,10,2,44,41,41,,,,,,,,,,,
59690909,2023-12-10T01:29:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,,0 Unspecified,Unspecified,,241589,ONLINE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59688797,2023-12-10T01:29:46.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,,0 Unspecified,Unspecified,986669,195307,ONLINE,Unspecified,Unspecified,40.70274903394234,-73.99127563282178,"{'latitude': '40.70274903394234', 'longitude': '-73.99127563282178', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16865,68,2,38,54,54,,,,,,,,,,,
59692863,2023-12-10T01:29:39.000,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,,,,,,,,In Progress,,2023-12-10T01:59:01.000,0 Unspecified,Unspecified,953928,171700,ONLINE,Unspecified,Unspecified,40.63790152999466,-74.10925310147705,"{'latitude': '40.63790152999466', 'longitude': '-74.10925310147705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10697,4,1,13,74,74,,,,,,,,,,,
59691875,2023-12-10T01:28:42.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,2023-12-10T01:53:37.000,0 Unspecified,Unspecified,974820,164129,MOBILE,Unspecified,Unspecified,40.61716761090347,-74.03396664112519,"{'latitude': '40.61716761090347', 'longitude': '-74.03396664112519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17216,10,2,44,41,41,,,,,,,,,,,
59687631,2023-12-10T01:28:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,,,In Progress,,,0 Unspecified,Unspecified,998401,197448,PHONE,Unspecified,Unspecified,40.708614588915324,-73.94895849927532,"{'latitude': '40.708614588915324', 'longitude': '-73.94895849927532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17213,36,2,30,56,56,,,,,,,,,,,
59693922,2023-12-10T01:28:26.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,In Progress,,,0 Unspecified,Unspecified,,192495,MOBILE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59687737,2023-12-10T01:28:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T01:43:34.000,0 Unspecified,Unspecified,986115,210117,ONLINE,Unspecified,Unspecified,40.743399032781866,-73.99326958564647,"{'latitude': '40.743399032781866', 'longitude': '-73.99326958564647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12074,12,4,10,7,7,,,,,,,,,,,
59694012,2023-12-10T01:28:02.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,,0 Unspecified,Unspecified,1000434,198824,MOBILE,Unspecified,Unspecified,40.712387896398326,-73.94162232884065,"{'latitude': '40.712387896398326', 'longitude': '-73.94162232884065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17613,36,2,30,56,56,,,,,,,,,,,
59688801,2023-12-10T01:27:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T01:39:59.000,0 Unspecified,Unspecified,,241817,PHONE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
59691865,2023-12-10T01:27:32.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,,,,,,,,In Progress,,2023-12-10T02:19:34.000,0 Unspecified,Unspecified,1006210,219152,ONLINE,Unspecified,Unspecified,40.768170728433056,-73.92072123655673,"{'latitude': '40.768170728433056', 'longitude': '-73.92072123655673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16859,39,3,4,72,72,,,,,,,,,,,
59691953,2023-12-10T01:27:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,,,,,,,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,2023-12-10T01:46:25.000,0 Unspecified,Unspecified,,254375,PHONE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,,,,
